title,region,language,titleType,primaryTitle,startYear,genres,averageRating,numVotes,isAdult
Escape Room,US,en,movie,Escape Room,2019,"Action,Adventure,Horror",6.3,74009,0.0
Wounds,US,en,movie,Wounds,2019,"Drama,Horror,Mystery",4.0,13394,0.0
Saints Rest,US,en,movie,Saints Rest,2018,"Drama,Music,Musical",4.7,106,0.0
Captive State,US,en,movie,Captive State,2019,"Action,Adventure,Drama",6.0,44724,0.0
I Hate Kids,US,en,movie,I Hate Kids,2019,"Adventure,Comedy",5.8,1583,0.0
Unwavering Faith,US,en,movie,Unwavering Faith,2017,Drama,6.3,18,0.0
My Days of Mercy,GB,en,movie,My Days of Mercy,2017,"Drama,Romance",6.4,2355,0.0
The Pagan King,GB,en,movie,The Pagan King: The Battle of Death,2018,"Action,Drama,History",6.2,1749,0.0
Light of My Life,US,en,movie,Light of My Life,2019,"Drama,Sci-Fi,Thriller",6.6,8111,0.0
Lucifer,US,en,movie,Lucifer,2019,"Action,Crime,Drama",7.5,6302,0.0
Here and Now,US,en,movie,Here and Now,2018,"Drama,Music,Romance",4.4,1124,0.0
Uchu Sentai Kyuranger,US,en,tvSeries,Uchu Sentai Kyuranger,2017,"Action,Sci-Fi",7.9,87,0.0
The Block,GB,en,movie,The Block,2016,Documentary,7.3,6,0.0
Madeline's Madeline,US,en,movie,Madeline's Madeline,2018,"Drama,Mystery,Thriller",6.4,3125,0.0
Late Night,US,en,movie,Late Night,2019,"Comedy,Drama",6.5,22480,0.0
The Butterfly Effect,US,en,movie,The Butterfly Effect,2010,"Comedy,Crime,Drama",6.8,106,0.0
If You're Looking for Trouble,US,en,movie,If You're Looking for Trouble,2009,"Comedy,Musical",9.3,98,0.0
The Monster,US,en,movie,Raakshas,2018,"Adventure,Drama,Family",6.8,24,0.0
Downrange,US,en,movie,Downrange,2017,"Action,Horror,Thriller",5.4,4166,0.0
Aladdin,US,en,movie,Aladdin,2019,"Adventure,Family,Fantasy",7.0,205795,0.0
Comeback,US,en,movie,Comeback,2016,Drama,6.9,113,0.0
The Lullaby,US,en,movie,The Lullaby,2017,Horror,4.4,1082,0.0
Juanita,US,en,movie,Juanita,2019,Drama,5.9,1891,0.0
Los Domirriqueños 2,US,en,movie,Los Domirriqueños 2,2019,"Comedy,Sport",5.7,34,0.0
Stray,US,en,movie,Stray,2019,"Action,Crime,Fantasy",4.8,617,0.0
The Jungle Bunch,GB,en,movie,The Jungle Bunch,2017,"Adventure,Animation,Comedy",5.3,900,0.0
Adam,US,en,movie,Adam,2019,Comedy,3.4,1316,0.0
School of Life,US,en,movie,School of Life,2017,"Comedy,Drama,Family",6.8,998,0.0
Code Geass: Lelouch of the Re;Surrection,US,en,movie,Code Geass: Lelouch of the Re;Surrection,2019,"Action,Adventure,Animation",7.4,977,0.0
Hala,US,en,movie,Hala,2019,Drama,5.8,1309,0.0
The Violin Player,US,en,movie,The Violin Player,2018,"Drama,Romance",6.1,203,0.0
Carpool Karaoke,US,en,tvSeries,Carpool Karaoke,2017,"Comedy,Music,Reality-TV",5.6,214,0.0
Downton Abbey,GB,en,movie,Downton Abbey,2019,"Drama,Romance",7.4,32141,0.0
Fast Colour,US,en,movie,Fast Colour,2018,"Drama,Sci-Fi,Thriller",6.0,3507,0.0
Alright Now,US,en,movie,Alright Now,2018,Drama,4.2,394,0.0
Betsy,US,en,movie,Betsy,2018,Horror,3.2,120,0.0
High Strung Free Dance,US,en,movie,High Strung Free Dance,2018,"Music,Romance",6.3,562,0.0
Remember Baghdad,GB,en,movie,Remember Baghdad,2016,"Documentary,History",7.8,12,0.0
Five Feet Apart,US,en,movie,Five Feet Apart,2019,"Drama,Romance",7.2,34361,0.0
Serenity,GB,en,movie,Serenity,2019,"Drama,Mystery,Thriller",5.3,31658,0.0
A Wizard's Tale,GB,en,movie,A Wizard's Tale,2018,"Adventure,Animation,Comedy",4.7,593,0.0
A Wizard's Tale,US,en,movie,A Wizard's Tale,2018,"Adventure,Animation,Comedy",4.7,593,0.0
Mantis Nest,US,en,movie,Mantis Nest,2018,Drama,8.1,9,0.0
Fighting with My Family,GB,en,movie,Fighting with My Family,2019,"Biography,Comedy,Drama",7.1,58714,0.0
Long Live Brij Mohan,US,en,movie,Long Live Brij Mohan,2017,"Comedy,Crime,Drama",6.9,2412,0.0
Love Is a Broadway Hit,US,en,movie,Love Is a Broadway Hit,2017,Romance,5.7,20,0.0
Spirit Warrior,US,en,tvSeries,Spirit Warrior,1988,"Adventure,Animation,Fantasy",4.8,13,0.0
Native Son,US,en,movie,Native Son,2019,Drama,5.7,1771,0.0
Carnage,GB,en,movie,Carnage,2017,Comedy,7.7,1235,0.0
Diane,US,en,movie,Diane,2018,Drama,6.7,1092,0.0
Woman Up,GB,en,movie,Number One,2017,"Drama,Thriller",5.9,459,0.0
The Haunting of Bly Manor,US,en,tvSeries,The Haunting of Hill House,2018,"Drama,Horror,Mystery",8.7,146106,0.0
Blue,US,en,movie,Blue,2018,Documentary,6.8,168,0.0
Weight,US,en,movie,Weight,2018,Comedy,5.5,33,0.0
The Kid Who Would Be King,GB,en,movie,The Kid Who Would Be King,2019,"Action,Adventure,Family",6.0,13439,0.0
Glass,US,en,movie,Glass,2019,"Drama,Sci-Fi,Thriller",6.7,191489,0.0
Little Heroes,US,en,movie,Little Heroes,2017,Animation,6.4,11,0.0
Us,US,en,movie,Us,2019,"Horror,Mystery,Thriller",6.9,199268,0.0
Fantastica: A Boonie Bears Adventure,US,en,movie,Fantastica: A Boonie Bears Adventure,2017,"Action,Adventure,Animation",6.1,85,0.0
To the Stars,US,en,movie,To the Stars,2019,Drama,5.9,513,0.0
Belleville Cop,US,en,movie,Belleville Cop,2018,"Comedy,Crime",4.8,1394,0.0
The Souvenir,GB,en,movie,The Souvenir,2019,"Drama,Mystery,Romance",6.5,7125,0.0
Quest for the Stanley Cup,US,en,tvSeries,Quest for the Stanley Cup,2016,Sport,8.2,6,0.0
Intuitions,US,en,movie,Intuitions,2019,"Romance,Thriller",3.5,193,0.0
Fill in the [Prank],US,en,tvSeries,Fill in the [Prank],2017,"Comedy,Reality-TV,Short",6.2,17,0.0
Driven to Dance,US,en,movie,Driven to Dance,2018,Drama,4.1,210,0.0
Kalank,US,en,movie,Kalank,2019,"Drama,Romance",3.6,10416,0.0
Share,US,en,movie,Share,2019,"Drama,Mystery",5.6,1438,0.0
Anastasia,US,en,movie,Anastasia,2019,"Adventure,Family,Fantasy",3.3,140,0.0
Super Deluxe,US,en,movie,Super Deluxe,2019,"Action,Crime,Drama",8.4,6960,0.0
Velvet Buzzsaw,US,en,movie,Velvet Buzzsaw,2019,"Horror,Mystery,Thriller",5.7,49913,0.0
For Love or Money,GB,en,movie,For Love or Money,2019,Comedy,5.6,973,0.0
A Madea Family Funeral,US,en,movie,A Madea Family Funeral,2019,Comedy,4.4,3438,0.0
Detective K: Secret of the Living Dead,US,en,movie,Detective K: Secret of the Living Dead,2018,"Comedy,Crime",6.1,335,0.0
Kill Mamba Kill!,US,en,movie,Kill Mamba Kill!,2019,"Action,Horror",6.3,12,0.0
Porthole,US,en,movie,Porthole,2018,"Comedy,Drama,Romance",3.9,46,0.0
Informer,US,en,tvSeries,Informer,2018,"Crime,Drama,Thriller",7.9,3748,0.0
Destined to Ride,US,en,movie,Destined to Ride,2018,"Adventure,Family",5.3,156,0.0
The Last Nazi,US,en,movie,The Last Nazi,2019,Drama,4.1,32,0.0
Non-Fiction,US,en,movie,Non-Fiction,2018,"Comedy,Drama,Romance",6.5,3587,0.0
Woman at War,US,en,movie,Woman at War,2018,"Adventure,Comedy,Drama",7.4,6507,0.0
Trespassers,US,en,movie,Trespassers,2018,"Horror,Thriller",5.0,1475,0.0
Dark is the Night,US,en,movie,Dark is the Night,2017,Drama,6.2,36,0.0
A Fish Out of Water,US,en,movie,A Fish Out of Water,2017,Drama,6.0,53,0.0
Shuttle Life,US,en,movie,Shuttle Life,2017,Drama,6.5,228,0.0
The Poet and the Boy,US,en,movie,The Poet and the Boy,2017,Drama,6.3,94,0.0
Ash Is Purest White,US,en,movie,Ash Is Purest White,2018,"Crime,Drama,Romance",7.0,6666,0.0
Them That Follow,US,en,movie,Them That Follow,2019,"Drama,Thriller",5.3,2118,0.0
The Art of Self-Defense,US,en,movie,The Art of Self-Defense,2019,"Comedy,Crime,Drama",6.7,22393,0.0
Good Boys,US,en,movie,Good Boys,2019,"Adventure,Comedy",6.7,49779,0.0
The Lodge,GB,en,movie,The Lodge,2019,"Drama,Horror,Thriller",6.1,14275,0.0
Is That You?,GB,en,movie,Is That You?,2018,Horror,6.8,59,0.0
GoAnimate: The Movie,US,en,movie,GoAnimate: The Movie,2006,"Action,Adventure,Animation",4.7,115,0.0
El Chicano,US,en,movie,El Chicano,2018,Drama,5.3,911,0.0
Little Monsters,GB,en,movie,Little Monsters,2019,"Comedy,Horror",6.3,9954,0.0
The Last Laugh,US,en,movie,The Last Laugh,2019,Comedy,5.6,4524,0.0
The Outlaws,US,en,movie,The Outlaws,2017,"Action,Crime",7.1,3546,0.0
One Man Dies a Million Times,US,en,movie,One Man Dies a Million Times,2019,"Drama,History",6.4,102,0.0
Young Men,GB,en,movie,Young Men,2016,"Drama,Music,War",6.7,25,0.0
The Boy Who Harnessed the Wind,GB,en,movie,The Boy Who Harnessed the Wind,2019,Drama,7.6,21274,0.0
White Dragon,US,en,tvSeries,White Dragon,2018,"Crime,Drama,Thriller",6.3,1972,0.0
Your Mother Should Know,US,en,movie,Your Mother Should Know,2018,"Comedy,Drama,Family",6.0,371,0.0
Luce,US,en,movie,Luce,2019,"Drama,Mystery",6.7,7012,0.0
What Men Want,US,en,movie,What Men Want,2019,"Comedy,Fantasy,Romance",5.2,18206,0.0
The Manson Family Massacre,GB,en,movie,The Manson Family Massacre,2019,"Crime,Horror,Thriller",3.2,222,0.0
The Massacre on Cielo Drive,US,en,movie,The Manson Family Massacre,2019,"Crime,Horror,Thriller",3.2,222,0.0
Brittany Runs a Marathon,US,en,movie,Brittany Runs a Marathon,2019,"Comedy,Drama",6.8,12453,0.0
The Honeymoon Stand-up Special,US,en,tvSeries,The Honeymoon Stand-up Special,2018,Comedy,6.8,449,0.0
The Dreaming Man,US,en,movie,The Dreaming Man,2017,"Comedy,Family,Romance",7.8,12,0.0
Harvey Girls Forever!,US,en,tvSeries,Harvey Girls Forever!,2018,"Adventure,Animation,Comedy",6.1,180,0.0
The Last Tree,GB,en,movie,The Last Tree,2019,Drama,6.1,463,0.0
Tooth Fairy,GB,en,movie,Tooth Fairy,2019,Horror,2.3,129,0.0
House of Deadly Secrets,US,en,movie,House of Deadly Secrets,2018,Mystery,5.0,467,0.0
Eye for an Eye,US,en,movie,Eye for an Eye,2019,"Drama,Thriller",6.6,4252,0.0
Ms. Purple,US,en,movie,Ms. Purple,2019,Drama,6.1,415,0.0
After the Wedding,US,en,movie,After the Wedding,2019,Drama,6.2,3998,0.0
The Plagiarists,US,en,movie,The Plagiarists,2019,Drama,5.9,213,0.0
The Russian Five,US,en,movie,The Russian Five,2018,"Documentary,Sport",8.2,753,0.0
Robin Hood Complex: The Fight Against Islamic State,GB,en,movie,Robin Hood Complex,2017,Documentary,7.3,22,0.0
Paddleton,US,en,movie,Paddleton,2019,"Comedy,Drama",7.2,9402,0.0
Immortals,US,en,tvSeries,Immortals,2018,"Action,Adventure,Drama",5.5,2352,0.0
Penguin Highway,US,en,movie,Penguin Highway,2018,"Adventure,Animation,Family",7.1,1564,0.0
Penguins,US,en,movie,Penguins,2019,"Documentary,Family",7.0,1147,0.0
Deadly Patient,US,en,movie,Deadly Patient,2018,Thriller,4.9,135,0.0
Lady and the Tramp,US,en,movie,Lady and the Tramp,2019,"Adventure,Comedy,Drama",6.3,12489,0.0
High Flying Bird,US,en,movie,High Flying Bird,2019,"Drama,Sport",6.2,6883,0.0
Honey Boy,US,en,movie,Honey Boy,2019,Drama,7.3,18104,0.0
Happy Death Day 2U,US,en,movie,Happy Death Day 2U,2019,"Comedy,Horror,Mystery",6.2,49679,0.0
Deerskin,US,en,movie,Deerskin,2019,"Comedy,Horror",6.8,4021,0.0
Soul Hunters,US,en,movie,Soul Hunters,2019,"Action,Thriller",6.2,1032,0.0
Knives and Skin,US,en,movie,Knives and Skin,2019,Drama,5.0,543,0.0
The Report,US,en,movie,The Report,2019,"Biography,Crime,Drama",7.2,25354,0.0
Christmas Survival,US,en,movie,Christmas Survival,2018,Comedy,5.0,495,0.0
Blinded by the Light,GB,en,movie,Blinded by the Light,2019,"Comedy,Drama,Music",6.9,15962,0.0
Nancy Drew and the Hidden Staircase,US,en,movie,Nancy Drew and the Hidden Staircase,2019,"Comedy,Crime,Drama",5.7,3139,0.0
Dating to Kill,US,en,movie,Dating to Kill,2019,Thriller,5.1,206,0.0
Mosul,US,en,movie,Mosul,2019,Documentary,8.7,1971,0.0
Deadly Switch,US,en,movie,Deadly Switch,2019,"Mystery,Thriller",4.5,784,0.0
Corporate Animals,US,en,movie,Corporate Animals,2019,"Comedy,Horror",4.4,1657,0.0
Hesburgh,US,en,movie,Hesburgh,2018,Documentary,7.6,86,0.0
Kill Thy Neighbor,US,en,movie,Kill Thy Neighbor,2018,"Drama,Thriller",4.5,192,0.0
Sword of Trust,US,en,movie,Sword of Trust,2019,"Comedy,Drama",6.2,1705,0.0
Porno,US,en,movie,Porno,2019,"Comedy,Horror",4.9,615,0.0
Wandering Girl,US,en,movie,Wandering Girl,2018,Drama,6.6,172,0.0
Untitled Alex Gibney/HBO Project,US,en,movie,The Inventor: Out for Blood in Silicon Valley,2019,Documentary,7.1,7049,0.0
Unsettling,GB,en,movie,Unsettling,2018,Documentary,7.3,38,0.0
iBOT,US,en,movie,iBOT,2018,"Action,Sci-Fi,Thriller",7.6,14,0.0
Romeo Akbar Walter,US,en,movie,Romeo Akbar Walter,2019,"Action,Drama,Thriller",6.5,4425,0.0
Pirates: Scarecrows Curse,GB,en,movie,Scarecrow's Revenge,2019,Horror,2.1,72,0.0
Grudge of The Mime,GB,en,movie,Scarecrow's Revenge,2019,Horror,2.1,72,0.0
The Farewell,US,en,movie,The Farewell,2019,"Comedy,Drama",7.6,39073,0.0
The Drug Hunter,US,en,tvSeries,The Drug Hunter,2018,"Action,Crime,Drama",5.4,8,0.0
Pretty Little Stalker,US,en,movie,Pretty Little Stalker,2018,Thriller,3.4,373,0.0
To Catch a Thief,US,en,tvSeries,Atrapa a un ladrón,2019,"Comedy,Crime,Drama",5.9,53,0.0
Majiji,US,en,movie,Majiji,2019,"Drama,Romance",7.2,2478,0.0
Manje Bistre 2,US,en,movie,Manje Bistre 2,2019,Drama,5.7,107,0.0
Blush,US,en,movie,Blush,2019,Drama,4.3,196,0.0
The King and I,GB,en,movie,The King and I,2018,"Drama,Musical,Romance",8.1,182,0.0
Brotherhood,GB,en,tvSeries,Irmandade,2019,"Crime,Drama,Thriller",7.6,732,0.0
One Child Nation,US,en,movie,One Child Nation,2019,"Documentary,History",7.5,3581,0.0
Jersey,US,en,movie,Jersey,2019,"Drama,Sport",8.6,5622,0.0
"Yes, God, Yes",US,en,movie,"Yes, God, Yes",2019,Drama,6.1,272,0.0
House Arrest,US,en,tvSeries,House Arrest,2018,"Comedy,Crime,Drama",7.9,820,0.0
Adopt a Highway,US,en,movie,Adopt a Highway,2019,Drama,6.2,2213,0.0
If I Were Rich Man,GB,en,movie,Si yo fuera rico,2019,Comedy,5.0,462,0.0
InstaPsycho,US,en,movie,InstaPsycho,2020,Thriller,4.6,125,0.0
The Chosen One,US,en,tvSeries,The Chosen One,2019,"Mystery,Thriller",5.6,490,0.0
Charm City Kings,US,en,movie,Charm City Kings,2020,Drama,7.2,86,0.0
Chitralahari,US,en,movie,Chitralahari,2019,Drama,7.2,1427,0.0
Driveways,US,en,movie,Driveways,2019,Drama,7.7,958,0.0
The Sound of Silence,US,en,movie,The Sound of Silence,2019,Drama,5.5,813,0.0
The Death of Dick Long,US,en,movie,The Death of Dick Long,2019,"Comedy,Crime,Drama",6.3,3144,0.0
Light from Light,US,en,movie,Light from Light,2019,Drama,5.6,303,0.0
The Sound of Harris,GB,en,movie,Caolas na Hearadh,2019,Documentary,7.1,7,0.0
Hamlet Shakespeare's Globe,GB,en,movie,Hamlet Shakespeare's Globe,2018,Drama,8.0,39,0.0
Semiconductor,US,en,movie,Semiconductor,2018,Horror,3.9,16,0.0
PM Narendra Modi,US,en,movie,PM Narendra Modi,2019,"Biography,Drama",3.2,4795,0.0
Playing with Fire,US,en,tvSeries,Playing with Fire,2019,Drama,6.1,466,0.0
The Brink,US,en,movie,The Brink,2019,Documentary,6.1,555,0.0
Fourteen,US,en,movie,Fourteen,2019,Drama,6.9,233,0.0
Killer in Suburbia,US,en,movie,Killer in Suburbia,2020,Thriller,5.1,79,0.0
The Hard Way,US,en,movie,The Hard Way,2019,Action,4.8,2164,0.0
#Anne Frank Parallel Stories,US,en,movie,#Anne Frank Parallel Stories,2019,"Documentary,Drama,History",6.6,71,0.0
