title,region,language,titleType,primaryTitle,startYear,genres,averageRating,numVotes,isAdult
Bram Stoker's Dracula,US,en,movie,Bram Stoker's Dracula,1992,Horror,7.4,184439,0.0
Erotic Ghost Story III,US,en,movie,Erotic Ghost Story III,1992,"Drama,Fantasy",5.1,159,0.0
The Mighty Ducks,GB,en,movie,The Mighty Ducks,1992,"Comedy,Drama,Family",6.5,56217,0.0
Reservoir Dogs,GB,en,movie,Reservoir Dogs,1992,"Crime,Drama,Thriller",8.3,884013,0.0
Leaving Lenin,GB,en,movie,Leaving Lenin,1993,Comedy,7.5,53,0.0
The Nightmare Before Christmas,US,en,movie,The Nightmare Before Christmas,1993,"Animation,Family,Fantasy",8.0,282297,0.0
What's Love Got to Do with It,US,en,movie,What's Love Got to Do with It,1993,"Biography,Drama,Music",7.3,16366,0.0
DNA²,US,en,tvSeries,DNA²,1994,"Animation,Comedy,Romance",6.5,281,0.0
Cold Fever,US,en,movie,Cold Fever,1995,"Comedy,Drama,Mystery",7.0,1692,0.0
Mary Shelley's Frankenstein,US,en,movie,Mary Shelley's Frankenstein,1994,"Drama,Horror,Romance",6.4,49748,0.0
The Lion King 3D,US,en,movie,The Lion King,1994,"Adventure,Animation,Drama",8.5,904022,0.0
King of the Jungle,US,en,movie,The Lion King,1994,"Adventure,Animation,Drama",8.5,904022,0.0
Pulp Fiction,US,en,movie,Pulp Fiction,1994,"Crime,Drama",8.9,1756048,0.0
The Shawshank Redemption,US,en,movie,The Shawshank Redemption,1994,Drama,9.3,2241596,0.0
Heaven and Earth,US,en,movie,Heaven and Earth,1994,"Action,Crime,Drama",6.1,145,0.0
The Righteous (1994),US,en,movie,The Righteous (1994),1994,Documentary,7.7,6,0.0
Starla and the Jewel Riders,US,en,tvSeries,Starla and the Jewel Riders,1995,"Adventure,Animation,Family",7.3,176,0.0
Secret Sins,US,en,movie,Secret Sins,1995,Drama,5.1,87,0.0
Spooks,GB,en,tvSeries,Spooks,2002,"Action,Crime,Drama",8.2,13925,0.0
Deadly Instincts,US,en,movie,Deadly Instincts,1997,"Horror,Sci-Fi",3.1,968,0.0
No Response from Car 33,US,en,movie,No Response from Car 33,1955,Action,7.5,6,0.0
Gladiator,US,en,movie,Gladiator,2000,"Action,Adventure,Drama",8.5,1289479,0.0
Gendernauts: A Journey Through Shifting Identities,US,en,movie,Gendernauts: A Journey Through Shifting Identities,1999,Documentary,5.9,140,0.0
From Bangkok with Orders to Kill,GB,en,movie,Huang se sha shou,1972,"Action,Drama",6.1,70,0.0
The New Adventures of Jonny Quest,US,en,tvSeries,The New Adventures of Jonny Quest,1986,"Action,Adventure,Animation",7.2,1065,0.0
Caged Men,GB,en,movie,Caged Men,1971,"Crime,Drama",6.2,51,0.0
A.I. Artificial Intelligence,US,en,movie,A.I. Artificial Intelligence,2001,"Drama,Sci-Fi",7.2,283977,0.0
Invasion UFO,GB,en,movie,Invasion: UFO,1974,"Action,Drama,Sci-Fi",5.9,307,0.0
Fist of Legends 2: Iron Bodyguards,GB,en,movie,Fist of Legends 2: Iron Bodyguards,1996,Action,4.6,93,0.0
Heroes Blood,US,en,movie,Heroes Blood,1992,\N,4.7,12,0.0
Transformers: Robots in Disguise,US,en,tvSeries,Transformers: Robots in Disguise,2000,"Action,Adventure,Animation",6.7,469,0.0
Echos of Enlightenment,US,en,movie,Echos of Enlightenment,2001,"Drama,Mystery,Sci-Fi",6.2,83,0.0
Star Trek: Enterprise,US,en,tvSeries,Star Trek: Enterprise,2001,"Action,Adventure,Drama",7.5,43364,0.0
The Dummy,US,en,movie,The Dummy,2002,"Comedy,Drama,Romance",6.7,6363,0.0
Nazi Concentration and Prison Camps,US,en,movie,Nazi Concentration and Prison Camps,1945,"Documentary,History",8.3,992,0.0
Corky Romano,US,en,movie,Corky Romano,2001,"Comedy,Crime",4.7,12297,0.0
The Pianist,US,en,movie,The Pianist,2002,"Biography,Drama,Music",8.5,695564,0.0
Naked Are the Cheaters,US,en,movie,Naked Are the Cheaters,1970,"Adult,Drama",5.5,8,1.0
A Christmas Carol,GB,en,movie,A Christmas Carol,2001,"Animation,Family",5.5,1669,0.0
Roads to Riches,US,en,movie,Roads to Riches,2002,"Comedy,Drama",5.2,438,0.0
Virtual Weapon,US,en,movie,Virtual Weapon,1997,"Comedy,Crime",4.7,356,0.0
Peter Pan 2: Return to Never Land,US,en,movie,Peter Pan 2: Return to Never Land,2002,"Adventure,Animation,Family",5.8,17720,0.0
Desert Lovers,US,en,tvSeries,Desert Lovers,2001,"Drama,Romance",8.0,65,0.0
The Jungle Book 2,US,en,movie,The Jungle Book 2,2003,"Adventure,Animation,Family",5.4,14519,0.0
Care Bears,US,en,tvSeries,Care Bears,1985,"Animation,Comedy,Family",6.1,2940,0.0
"Vendetta: No Conscience, No Mercy",US,en,movie,"Vendetta: No Conscience, No Mercy",2004,"Action,Crime,Drama",4.8,249,0.0
Bounty Huntress: Undercover,US,en,movie,Bounty Huntress: Undercover,2001,"Action,Crime,Drama",3.7,122,0.0
Aqua Teen Hunger Force,US,en,tvSeries,Aqua Teen Hunger Force,2000,"Animation,Comedy",7.6,22142,0.0
The Bounty Huntress,US,en,movie,The Bounty Huntress,2001,"Action,Drama",3.6,66,0.0
Chances Are,US,en,movie,Chances Are,2001,"Comedy,Romance",8.4,35,0.0
Anthony Bourdain's a Cook's Tour,US,en,tvSeries,Anthony Bourdain's a Cook's Tour,2002,Documentary,8.1,520,0.0
The Divorce,US,en,movie,The Divorce,2003,"Comedy,Drama,Romance",4.9,10821,0.0
The Boy from Wolf Mountain,GB,en,movie,Time of the Wolf,2002,Drama,6.2,242,0.0
A Peck on the Cheek,US,en,movie,Kannathil Muthamittal,2002,"Action,Drama,War",8.4,6947,0.0
Area K,US,en,movie,Area K,2002,"Crime,Documentary,Drama",7.6,12,0.0
The Incredibles,US,en,movie,The Incredibles,2004,"Action,Adventure,Animation",8.0,635812,0.0
American Idol,US,en,tvSeries,American Idol,2002,"Game-Show,Music,Reality-TV",4.1,20762,0.0
The Perfect Catch,US,en,movie,The Perfect Catch,2005,"Comedy,Drama,Romance",6.2,41465,0.0
School of Rock,US,en,movie,School of Rock,2003,"Comedy,Music",7.1,258439,0.0
Local Angel,US,en,movie,Local Angel,2002,Documentary,5.9,15,0.0
Bluer Than Indigo: Fate,US,en,tvSeries,Bluer Than Indigo,2002,"Animation,Comedy,Romance",7.2,351,0.0
Fighting Cooking Legend Bistro Recipe,US,en,tvSeries,Fighting Cooking Legend Bistro Recipe,2001,"Adventure,Animation,Comedy",6.5,93,0.0
The Straun House,US,en,movie,The Straun House,2005,"Horror,Thriller",2.6,306,0.0
The Scare Hole,US,en,movie,The Scare Hole,2004,"Drama,Thriller",4.6,359,0.0
Pilgrim's Progress,US,en,movie,Pilgrim's Progress,1978,Adventure,5.7,228,0.0
Lost in New Mexico: The Strange Tale of Susan Hero,US,en,movie,Lost in New Mexico: The Strange Tale of Susan Hero,2007,"Drama,Romance,Sci-Fi",6.2,19,0.0
The Stranger,US,en,movie,Anniyan,2005,"Action,Drama,Thriller",8.2,13287,0.0
Gold Diggers,US,en,movie,Gold Diggers,2003,"Comedy,Crime",3.0,2351,0.0
Dream,US,en,movie,Dream,2005,"Comedy,Drama,Music",5.2,499,0.0
Tokyo Godfathers,GB,en,movie,Tokyo Godfathers,2003,"Adventure,Animation,Comedy",7.8,28979,0.0
The Land Has Eyes,US,en,movie,The Land Has Eyes,2004,Drama,5.8,113,0.0
1994 FIFA World Cup USA,US,en,tvSeries,1994 FIFA World Cup USA,1994,Sport,7.4,161,0.0
State Property: Blood on the Streets,US,en,movie,State Property: Blood on the Streets,2005,"Action,Crime,Drama",4.6,1333,0.0
The Departed,US,en,movie,The Departed,2006,"Crime,Drama,Thriller",8.5,1142974,0.0
Lovewrecked,US,en,movie,Lovewrecked,2005,"Adventure,Comedy,Romance",4.8,13832,0.0
House,US,en,tvSeries,House,2004,"Drama,Mystery",8.7,398093,0.0
Mrs. Henderson Presents,US,en,movie,Mrs Henderson Presents,2005,"Comedy,Drama,Music",7.0,14904,0.0
Spirits,US,en,movie,Spirits,2004,"Horror,Thriller",5.4,205,0.0
Shooting Dogs,GB,en,movie,Beyond the Gates,2005,"Drama,History,War",7.7,10788,0.0
Click,GB,en,movie,Imagine Me & You,2005,"Comedy,Drama,Romance",6.8,28896,0.0
Alita: Battle Angel,US,en,movie,Alita: Battle Angel,2019,"Action,Adventure,Sci-Fi",7.3,207183,0.0
Two Sons of Francisco,US,en,movie,Two Sons of Francisco,2005,"Biography,Drama",6.8,4656,0.0
Nuremberg,US,en,movie,Nuremberg,1948,Documentary,6.6,76,0.0
Of Ashes and Atoms: The Story of the NASA Plum Brook Reactor Facility,US,en,movie,Of Ashes and Atoms: The Story of the NASA Plum Brook Reactor Facility,2004,Documentary,8.9,10,0.0
Lady Vengeance,GB,en,movie,Lady Vengeance,2005,"Crime,Drama,Thriller",7.6,69045,0.0
Dark Harvest II: The Maize,US,en,movie,Dark Harvest II: The Maize,2004,Horror,1.9,2578,0.0
Wonder Woman,US,en,movie,Wonder Woman,2017,"Action,Adventure,Fantasy",7.4,527297,0.0
29th & Gay,US,en,movie,29th & Gay,2005,Comedy,5.0,293,0.0
The Smart Hunt,US,en,movie,Vettaiyaadu Vilaiyaadu,2006,"Action,Crime,Thriller",7.9,6288,0.0
The Equalizer,US,en,movie,The Equalizer,2014,"Action,Crime,Thriller",7.2,320133,0.0
Language of the Enemy,US,en,movie,Language of the Enemy,2008,Drama,6.0,190,0.0
Lost in Love,GB,en,movie,Lost in Love,2005,"Comedy,Romance",6.0,322,0.0
